QKEY,INTERVIEW_START_W106,INTERVIEW_END_W106,DEVICE_TYPE_W106,LANG_W106,XATTEND_W106,XPRAY_W106,XHOLYBOOK_W106,XASIAN_W106,LIFE2_W106,FTRPER_a_W106,FTRPER_b_W106,FTRGENS_a_W106,FTRGENS_b_W106,FTRGENS_c_W106,CLMSRS1_W106,CLIM1A_W106,ENV6MOD_a_W106,ENV6MOD_b_W106,ENV6MOD_c_W106,ENV6MOD_d_W106,ENV6MOD_e_W106,ENV6MOD_f_W106,SVENERGY_W106,SVREASON_W106,RELPER_W106,SPIRPER_W106,GOD_W106,GODBIBLE_W106,HGHPWR_W106,MISSINGGOD_W106,TYPEGOD_W106,SPECIES_W106,SACREDEARTH1_W106,SACREDEARTH2_a_W106,SACREDEARTH2_b_W106,SACREDEARTH2_c_W106,SACREDEARTH2_d_W106,HUMNTR_a_W106,HUMNTR_b_W106,READBIB_W106,PERSDEC_W106,PERSOE_1_W106,PERSOE_2_W106,PERSOE_3_W106,LITERAL_W106,PRAYFOR_a_W106,PRAYFOR_b_W106,PRAYFOR_c_W106,PRAYFOR_d_W106,PRAYFOR_e_W106,PRAYFOR_f_W106,ENDTIMES_W106,JCRTRNA_W106,JCRTRNCB_W106,JCRTRNC_W106,MEANINGMOD_a_W106,MEANINGMOD_b_W106,MEANINGMOD_c_W106,MEANINGMOD_d_W106,MEANINGMOD_e_W106,MEANINGMOD_f_W106,CONCLM_a_W106,CONCLM_b_W106,CONCLM_c_W106,CONCLMINV_a_W106,CONCLMINV_b_W106,CONCLMINV_c_W106,CONNRGY_a_W106,CONNRGY_b_W106,CONNRGY_c_W106,SERMONCLM_W106,CLRGYCLM_a_W106,CLRGYCLM_b_W106,CLRGYCLM_c_W106,CLRGYCLM_d_W106,MORALISSUE_d_W106,MORALISSUE_e_W106,MORALISSUE_f_W106,MORALISSUE_g_W106,CLMSRS2_a_W106,CLMSRS2_b_W106,CLMSRS2_c_W106,CLMSRS2_d_W106,CLMSRS2_e_W106,GOVWRRY_a_W106,GOVWRRY_b_W106,GOVWRRY_c_W106,CLMWRRY_a_W106,CLMWRRY_b_W106,CLMWRRY_c_W106,CLMWRRY_d_W106,USWRRY_a_W106,USWRRY_b_W106,CLMPOSS_W106,CLMPRI_W106,TALKCLM_a_W106,TALKCLM_b_W106,TALKCLM_c_W106,TALKCLM_d_W106,TALKCLMVAL_a_W106,TALKCLMVAL_b_W106,TALKCLMVAL_c_W106,TALKCLMVAL_d_W106,ENV27MOD_a_W106,ENV27MOD_b_W106,ENV27MOD_d_W106,ENV27MOD_e_W106,ATTACK_WORRY_W106,ATTACK_WORRY2_W106,ASIANDISC3_W106,ASIANDISCJOB_W106,ASIANDISC4_W106,F_METRO,F_CREGION,F_CDIVISION,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS,F_RACECMB,F_RACETHNMOD,F_CITIZEN,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_INC_SDT1,F_REG,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W106
100260,2022-04-13T15:55:38Z,2022-04-13T16:08:25Z,1,1,2,1,4,2,1,2,3,2,2,4,5,3,1,2,2,2,1,2,3,1,2,2,1,1,NA,NA,1,1,2,NA,NA,NA,NA,2,2,6,1,25,NA,NA,1,1,1,2,2,2,2,2,1,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,2,4,2,5,2,1,2,2,2,4,4,4,4,2,4,NA,NA,5,5,NA,5,4,4,NA,5,5,5,5,2,4,2,4,6,NA,1,4,9,4,1,1,5,2,NA,1,1,1,1,1,6,12,NA,3,5,1,NA,1,1,4,1,1,2,2,2,0.19508597883135215
100314,2022-04-13T19:55:20Z,2022-04-13T20:08:43Z,2,1,2,1,1,2,3,2,4,4,4,4,4,2,2,1,2,2,2,2,3,3,3,2,1,1,NA,NA,1,2,2,NA,NA,NA,NA,4,1,6,1,97,NA,NA,2,1,1,2,2,1,2,2,1,4,3,4,4,4,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,3,4,3,4,1,2,3,3,2,2,3,2,2,4,2,3,4,4,NA,5,2,2,NA,4,4,4,5,5,5,NA,4,5,NA,2,2,3,4,1,2,3,2,NA,1,1,1,1,1,3,1,2,1,5,1,NA,1,2,3,1,4,2,1,2,0.2861229754215875
100363,2022-04-13T20:16:09Z,2022-04-13T20:23:09Z,2,1,2,1,1,2,1,3,3,4,2,3,3,2,1,2,2,2,2,1,2,1,2,2,1,1,NA,NA,1,2,1,1,1,1,1,1,1,7,1,20,NA,NA,2,2,1,1,2,2,2,2,2,NA,NA,2,3,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,NA,NA,NA,NA,NA,3,4,3,4,1,3,2,2,3,2,1,4,4,NA,5,1,1,NA,1,4,2,4,3,5,NA,1,2,NA,1,1,2,2,2,1,6,2,NA,1,1,1,1,1,1,2,2,2,4,2,NA,2,3,9,1,3,2,2,3,0.7920402100754342
100598,2022-04-14T12:12:06Z,2022-04-14T12:24:42Z,1,1,2,1,1,2,3,4,3,2,4,3,2,1,1,2,2,2,1,2,3,3,2,2,1,1,NA,NA,1,2,1,2,2,2,2,3,2,6,1,25,NA,NA,2,1,1,2,2,2,1,2,1,4,3,2,3,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,NA,NA,NA,NA,NA,2,4,3,3,2,2,2,4,3,2,3,4,3,NA,3,4,1,NA,2,4,2,3,5,5,NA,1,2,NA,1,4,9,3,2,1,6,2,NA,1,1,1,1,1,1,1,2,1,5,1,NA,1,1,9,1,2,2,1,3,0.3554341149556611
100637,2022-04-12T17:06:57Z,2022-04-12T17:15:39Z,1,1,1,1,1,2,3,3,4,1,4,3,5,3,1,2,2,2,1,2,3,1,3,1,1,1,NA,NA,1,1,2,NA,NA,NA,NA,1,2,3,1,99,NA,NA,2,2,1,2,2,2,1,1,1,2,1,1,5,3,1,2,3,1,2,3,2,NA,NA,3,3,3,5,NA,NA,NA,NA,3,3,3,2,3,1,5,1,1,1,1,4,5,5,1,5,1,5,NA,NA,5,5,5,5,1,1,1,1,5,3,5,5,3,2,1,4,NA,1,3,5,4,2,2,4,2,NA,1,1,1,1,1,1,1,1,1,3,3,1,1,1,2,1,1,5,2,1,1.1954594504477298
100803,2022-04-13T09:25:06Z,2022-04-13T09:53:59Z,1,1,1,1,1,2,3,4,2,2,2,1,3,1,1,2,1,1,1,1,2,3,2,1,1,1,NA,NA,1,1,2,NA,NA,NA,NA,1,1,3,1,20,1,21,2,1,1,1,1,1,1,1,1,3,1,1,2,1,3,1,2,1,3,1,1,NA,1,1,2,1,5,NA,NA,NA,NA,3,3,3,2,NA,NA,NA,NA,NA,2,2,3,3,3,4,3,2,4,2,1,4,4,5,5,1,2,4,5,5,2,4,4,4,2,4,5,NA,2,2,4,4,2,1,5,2,NA,1,1,1,1,1,1,1,1,1,2,1,NA,1,1,9,1,2,4,1,3,0.32883210747865055
101224,2022-04-12T17:38:06Z,2022-04-12T17:49:25Z,2,1,1,1,1,2,2,2,3,2,2,1,2,2,1,2,2,2,1,1,2,3,2,2,1,1,NA,NA,1,1,1,1,1,1,1,1,1,3,1,99,NA,NA,1,1,1,1,1,1,1,1,1,3,3,1,3,1,2,1,1,2,2,2,NA,NA,NA,2,2,2,3,4,4,4,2,3,3,3,2,NA,NA,NA,NA,NA,2,2,3,3,3,2,3,3,3,3,4,2,3,2,2,2,3,2,2,5,5,5,3,3,2,3,5,NA,1,3,5,4,1,2,3,2,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,3,1,2,3,1,2,0.29767199537195405
101437,2022-04-12T15:51:22Z,2022-04-12T16:10:17Z,1,1,1,1,1,2,1,2,3,1,4,1,5,3,1,1,1,1,1,1,2,3,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,2,1,2,NA,NA,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,3,3,3,NA,NA,NA,2,2,3,5,NA,NA,NA,NA,2,3,3,2,1,1,4,2,1,1,1,2,4,5,4,4,1,5,NA,NA,4,4,4,5,4,1,4,4,5,4,5,3,5,NA,1,6,NA,2,2,4,3,2,2,4,2,NA,1,1,1,1,1,3,1,1,1,2,3,1,1,1,1,1,2,2,2,2,0.4165704635660726
101485,2022-04-12T20:22:00Z,2022-04-12T20:34:08Z,2,1,2,1,1,1,1,1,4,1,3,4,4,3,1,1,1,1,1,1,4,NA,2,2,1,1,NA,NA,1,1,1,1,3,3,3,3,3,6,1,21,1,NA,2,1,1,1,2,1,1,1,1,4,1,3,5,3,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,4,4,3,4,1,1,2,2,1,1,1,1,1,4,NA,4,4,4,NA,5,2,2,NA,2,5,5,5,5,1,1,1,4,1,1,4,8,3,2,2,3,2,NA,1,3,5,1,1,5,1,2,1,5,1,NA,1,1,9,1,2,1,1,3,0.32682234612598077
101493,2022-04-12T14:59:45Z,2022-04-12T15:20:41Z,2,1,2,2,4,2,2,5,3,2,1,1,5,2,2,2,2,2,1,2,2,3,4,3,1,2,NA,NA,2,2,1,1,1,1,1,5,1,7,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA,5,2,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,5,1,1,1,1,1,1,5,5,5,5,1,5,2,NA,1,1,NA,1,1,1,NA,5,5,5,5,5,5,NA,3,5,NA,1,4,9,3,1,2,3,1,1,1,1,3,1,1,1,12,NA,3,6,1,NA,1,1,6,1,2,2,2,2,0.35373569309876074
